Files,Revision Final,Revision in UAT,Files,Found in PRD?,Revision in PRD,Revision Different?,Revision PRD > UAT?,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean,
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\EcellCheckSearchDto.java,96043,96043,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckSearchDto.java,N,96043,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckSearchDto.java,svn update -r96043 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckSearchDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\EcellMailAlertDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellMailAlertDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellMailAlertDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellMailAlertDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\EcellParamsDto.java,98229,98229,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellParamsDto.java,N,98229,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellParamsDto.java,svn update -r98229 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellParamsDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\FipBailDto.java,94087,94087,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipBailDto.java,90913,90913,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipBailDto.java,svn update -r94087 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipBailDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\FipChkResultDto.java,99146,99146,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipChkResultDto.java,86286,86286,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipChkResultDto.java,svn update -r99146 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipChkResultDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\FipRcdResultDto.java,92816,92816,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRcdResultDto.java,86286,86286,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRcdResultDto.java,svn update -r92816 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRcdResultDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\FipRemarkHistoryDto.java,90915,90915,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRemarkHistoryDto.java,86286,86286,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRemarkHistoryDto.java,svn update -r90915 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/FipRemarkHistoryDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\InspectionOfCellDto.java,98123,98123,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/InspectionOfCellDto.java,N,98123,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/InspectionOfCellDto.java,svn update -r98123 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/InspectionOfCellDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\MailHistDto.java,98551,98551,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/MailHistDto.java,N,98551,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/MailHistDto.java,svn update -r98551 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/MailHistDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\RefFipItemDesc.java,99146,99146,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/RefFipItemDesc.java,86286,86286,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/RefFipItemDesc.java,svn update -r99146 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/RefFipItemDesc.java
